stock no.,link,gross_profit_changes
01809,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01809,"18.56%, -7.15%, 30.5%, 7.2%"
01930,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01930,"28.67%, 10.08%, 6.4%"
01958,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01958,"71.71%, 35.33%, 4.25%, 1.3%"
02025,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=02025,"21.01%, 12.58%, -12.58%, -54.92%"
00005,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00005,
00011,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00011,
00023,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00023,
00416,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00416,
00440,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00440,
00626,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00626,
00939,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00939,
00998,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00998,
01111,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01111,
01216,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01216,
01288,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01288,
01398,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01398,
01551,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01551,
01578,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01578,
01658,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01658,
01916,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01916,
01963,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01963,
01983,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01983,
01988,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01988,
02016,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=02016,
02066,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=02066,
02139,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=02139,
02356,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=02356,
02388,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=02388,
02558,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=02558,
02888,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=02888,
03328,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=03328,
03618,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=03618,
03698,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=03698,
03866,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=03866,
00399,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00399,"23.43%, 91.88%, 25.23%, -7.27%"
00690,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00690,"20.54%, 7.88%, -11.99%, 54.35%"
01349,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01349,"8.67%, -23.02%, 51.51%, 42.46%"
01530,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01530,"67.34%, 27.69%, 21.21%, 18.51%"
01548,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01548,"33.55%, 37.21%, 51.58%, 13.72%"
01672,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01672,"61.34%, 189.36%, -19.27%"
01801,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01801,"149.03%, -88.57%, 9635.64%"
01873,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01873,"59.19%, 22.36%, 47.81%"
01875,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01875,"-29.83%, 2.27%"
01877,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01877,"-74.67%, -4.99%, 102509.45%"
